;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
255;MATD3;ON NM;MATER DEI ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;9,78;24/08/2023;6,11;11,14;3.613.920;3.739.190.000;4.692.340.000;30/06/2023;382330000;-0.71;32.71;0.30;2.27;4.31;9.04;34.2;1.81;20.0;0.74;6.5;4.72;8.1;-1.77;8.9;0.7;6.9;9.06;2.81;11.35;58.1;5.083.100.000;316.864.000;1.230.240.000;1.270.020.000;953.152.000;1.647.350.000;114.303.000;44.944.000
256;MBLY3;ON NM;MOBLY ON NM;Programas e Serviços;3,95;24/08/2023;1,73;4,84;9.181.000;420.635.000;431.125.000;30/06/2023;106490000;0.00;-5.55;-0.71;0.82;4.84;-5.02;42.3;0.69;-13.7;0.52;-12.4;1.30;-10.3;2.72;-14.3;0.0;-14.7;-29.89;3.49;-5.14;07.1;813.413.000;166.869.000;452.703.000;177.359.000;10.490.000;515.451.000;-75.769.000;-17.147.000
257;MDIA3;ON NM;M.DIASBRANCO ON NM;Alimentos Processados;40,56;24/08/2023;24,05;44,94;49.841.100;13.749.800.000;14.905.800.000;30/06/2023;339000000;-2.10;27.59;1.47;1.97;20.64;17.84;28.5;1.24;7.0;1.18;4.5;5.13;6.6;28.67;8.1;0.5;7.1;13.39;2.07;19.34;15.3;11.702.000.000;1.229.330.000;5.184.840.000;2.385.250.000;1.155.920.000;6.996.790.000;498.388.000;217.892.000
258;MDNE3;ON NM;MOURA DUBEUX ON NM;Construção Civil;12,30;24/08/2023;4,73;12,30;3.598.080;1.044.380.000;971.424.000;30/06/2023;84909000;1.23;8.19;1.50;0.83;14.80;6.84;31.9;1.06;15.5;0.34;12.9;1.42;5.0;-1.55;5.6;0.0;10.1;6.13;2.76;6.36;37.9;3.077.290.000;265.573.000;1.150.720.000;192.616.000;-72.957.000;1.257.040.000;127.508.000;45.320.000
259;MEAL3;ON NM;IMC S/A ON NM;Hoteis e Restaurantes;2,25;24/08/2023;1,82;3,01;2.621.290;644.332.000;997.400.000;30/06/2023;286370000;0.00;6.71;0.34;0.60;3.76;-8.39;31.5;0.28;-3.4;0.25;4.2;-4.81;-2.9;-0.59;-3.3;0.0;8.9;6.02;0.77;-12.99;12.7;2.616.300.000;167.926.000;437.979.000;520.994.000;353.068.000;1.077.960.000;95.978.000;35.068.000
260;MELK3;ON NM;MELNICK ON NM;Construção Civil;4,38;24/08/2023;2,59;4,91;1.056.440;903.460.000;731.626.000;30/06/2023;206269000;-2.88;11.21;0.39;0.76;5.79;12.61;20.1;0.85;6.8;0.38;9.6;0.67;3.0;1.05;3.7;7.6;6.7;9.66;3.11;10.21;31.9;2.402.660.000;410.454.000;1.973.690.000;238.620.000;-171.834.000;1.195.310.000;80.579.000;27.994.000
261;MERC3;ON;MERCANTIL BRASIL ON;Intermediários Financeiros;15,28;27/06/2023;14,74;17,00;17.885;275.193.000;-;30/06/2023;18010000;0.00;-76.53;-0.20;1.11;13.81;0;0;0;0;0;0.0;0;0.0;0;0;0.0;-1.4;0;0;0;-21.2;275.142.000;0;0;0;0;248.683.000;-3.596.000;323.000
262;MERC4;PN;MERCANTIL BRASIL PN;Intermediários Financeiros;7,33;21/08/2023;6,28;12,35;49.155;132.013.000;-;30/06/2023;18010000;0.00;-36.71;-0.20;0.53;13.81;0;0;0;0;0;0.0;0;0.0;0;0;6.1;-1.4;0;0;0;-21.2;275.142.000;0;0;0;0;248.683.000;-3.596.000;323.000
263;MGEL4;PN N1;MANGELS PN N1;Siderurgia e Metalurgia;16,44;24/08/2023;11,22;19,07;22.024;95.076.000;655.086.000;30/06/2023;5783210;-0.48;0.43;38.43;2.96;5.55;1.19;12.5;0.10;8.3;0.12;23.2;0.79;10.1;-0.25;12.2;0.0;692.5;6.56;1.49;8.23;20.8;784.752.000;86.307.000;367.143.000;646.317.000;560.010.000;32.096.000;222.254.000;18.329.000
264;MGLU3;ON NM;MAGAZ LUIZA ON NM;Comércio;3,02;24/08/2023;2,37;5,37;316.346.000;20.381.800.000;25.126.700.000;30/06/2023;6748930000;-1.31;-22.76;-0.13;2.04;1.48;18.38;27.9;0.54;2.9;0.57;-2.4;5.32;3.1;-3.13;4.4;0.0;-8.9;10.63;1.25;22.66;23.0;35.598.900.000;2.486.800.000;19.085.500.000;7.231.730.000;4.744.920.000;10.011.500.000;-895.639.000;-301.746.000
