Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2025-11-28;83.3416976928711;83.3416976928711;81.87399194543809;82.81610276711486;2728400;0.72;-2.6900000000000004;0.007190819870561471;-0.016301891573444083;0.3006;84.01604042053222;-0.6743427276611271
2025-12-01;81.98307037353516;83.99620133358643;81.4178069632449;83.35160841550089;2879100;-1.63;-4.32;-0.016301891573444083;0.024918374212532735;0.3035;83.8018352508545;-1.8187648773193388
2025-12-02;84.02595520019531;85.27548001772531;81.89381871091864;82.39957551353814;6664500;2.49;-1.83;0.024918374212532735;0.020417761918381627;0.3186;83.68977432250976;0.3361808776855497
2025-12-03;85.7415771484375;86.14817396775445;82.66733748682007;84.39287718904411;4061000;2.04;0.20999999999999996;0.020417761918381627;-0.019315253525437948;0.304;83.80530624389648;1.9362709045410185
2025-12-04;84.08545684814453;87.12994704835262;83.66894856261763;86.00933926129223;4168900;-1.93;-1.72;-0.019315253525437948;-0.0049533405878045;0.2825;83.68531150817871;0.40014533996581747
2025-12-05;83.66895294189453;85.22590714728429;81.57648481308408;84.34330296775762;6904400;-0.5;-2.2199999999999998;-0.0049533405878045;0.020978954662300486;0.2715;83.64217338562011;0.026779556274419747
2025-12-08;85.42424011230469;86.37626231895263;83.76811838509423;83.76811838509423;3187200;2.1;-0.11999999999999966;0.020978954662300486;0.029951255393764198;0.2785;83.63423957824708;1.7900005340576115
2025-12-09;87.98280334472656;88.99432456682334;84.62097235358156;85.13664820747407;5792400;3.0;2.8800000000000003;0.029951255393764198;0.007100972747158707;0.298;83.74431686401367;4.2384864807128935
2025-12-10;88.6075668334961;89.45050245621877;87.20928681293256;87.8340492605035;4495300;0.71;3.5900000000000003;0.007100972747158707;-0.025517628724921027;0.2986;83.8677822113037;4.7397846221923885
2025-12-11;86.34651184082031;88.19105720993213;85.37465159320233;87.76462989199767;3904000;-2.55;1.0400000000000005;-0.025517628724921027;0.006907730519076116;0.295;84.00017280578614;2.346339035034177
2025-12-12;86.9429702758789;88.42247583681008;86.13868069588864;86.35713158814053;3254200;0.69;1.7300000000000004;0.006907730519076116;0.0007994181008441625;0.2917;84.20800399780273;2.734966278076172
2025-12-15;87.0124740600586;87.985571393696;86.50607345310087;87.30043135699587;4531200;0.08;1.8100000000000005;0.0007994181008441625;0.010973442202337758;0.2912;84.4282356262207;2.5842384338378963
2025-12-16;87.96730041503906;89.03714561857626;86.00757669560754;86.53750657963019;4337900;1.1;2.9100000000000006;0.010973442202337758;-0.02591506541602162;0.2917;84.65703735351562;3.310263061523443
2025-12-17;85.6876220703125;89.02714374888293;85.34767482709314;88.82716805143667;5324400;-2.59;0.32000000000000073;-0.02591506541602162;0.012835528162141951;0.309;84.75648345947266;0.9311386108398381
2025-12-18;86.78746795654297;88.33723953858922;85.48765264282041;85.99758112783991;3649600;1.28;1.6000000000000008;0.012835528162141951;0.014055233364397512;0.3009;84.81175308227539;1.975714874267581
2025-12-19;88.00728607177734;89.21711805402464;86.88745268804045;86.88745268804045;5252400;1.41;3.0100000000000007;0.014055233364397512;0.01681440026090364;0.2544;85.11395568847657;2.8933303833007784
2025-12-22;89.48707580566406;90.07698694548398;87.84731323915331;88.59720493584881;4103100;1.68;4.69;0.01681440026090364;0.004469254214890084;0.2577;85.4965934753418;3.9904823303222656
2025-12-23;89.88701629638672;91.12683505385417;89.18711282798172;89.19711351949547;4118600;0.45;5.140000000000001;0.004469254214890084;-0.007786501592176531;0.256;85.91261596679688;3.974400329589841
2025-12-26;89.1871109008789;89.86701297156546;88.54720396709067;89.77702963476354;1623000;-0.78;4.36;-0.007786501592176531;0.00784760699654985;0.2586;86.24604187011718;2.9410690307617244
2025-12-29;89.88701629638672;89.88701629638672;88.9971454589755;89.54706143955171;1851300;0.78;5.140000000000001;0.00784760699654985;-0.014460512434950834;0.2589;86.60305862426758;3.2839576721191435
2025-12-30;88.58720397949219;90.67690613475709;88.58720397949219;89.5170699857502;1599700;-1.45;3.6900000000000004;-0.014460512434950834;-0.00011290723469259412;0.267;86.86533393859864;1.721870040893549
2026-01-02;88.57720184326172;89.36708866393762;87.67733792722153;89.08713032309912;2240400;-0.01;3.6800000000000006;-0.00011290723469259412;0.048538280520630916;0.2573;87.19504051208496;1.3821613311767607
2026-01-05;92.8765869140625;92.97657094930857;88.99714989714768;88.99714989714768;5419800;4.85;8.530000000000001;0.048538280520630916;0.0020454231808055834;0.2938;87.63757209777832;5.2390148162841825
2026-01-06;93.06655883789062;93.59648107260405;91.43678936702554;92.8965852207736;4897500;0.2;8.73;0.0020454231808055834;0.008917056471247964;0.2884;88.00382118225097;5.062737655639651
2026-01-07;93.89643859863281;95.43620943661458;92.63661846653707;93.59647888156015;3236700;0.89;9.620000000000001;0.008917056471247964;0.00990306970053445;0.2749;88.49437026977539;5.402068328857425
2026-01-08;94.82630157470703;97.3359412701301;93.71646887518817;94.12640570504777;5081600;0.99;10.610000000000001;0.00990306970053445;0.010649547234938606;0.2723;89.05223770141602;5.774063873291013
2026-01-09;95.8361587524414;95.9961393117215;94.34637602853694;95.05627259668327;2026800;1.06;11.670000000000002;0.010649547234938606;0.02170054270064803;0.2674;89.57283363342285;6.26332511901856
2026-01-12;97.91585540771484;98.15581860646688;95.47620539747606;95.87614914759116;2818200;2.17;13.840000000000002;0.02170054270064803;-0.008577588312694062;0.259;90.06948623657226;7.846369171142584
2026-01-13;97.07597351074219;97.84586657054247;96.19610335640591;97.84586657054247;2568700;-0.86;12.980000000000002;-0.008577588312694062;-0.008342776161664345;0.2636;90.49290657043457;6.583066940307617
2026-01-14;96.2660903930664;97.39593203798368;95.58618831916401;97.13596746106124;3520300;-0.83;12.150000000000002;-0.008342776161664345;0.027939443273302444;0.2438;90.98888549804687;5.277204895019537
2026-01-15;98.9557113647461;99.20567526831339;96.09612369767285;97.38593835547522;4012600;2.79;14.940000000000001;0.027939443273302444;0.0033343040107791655;0.2565;91.58952255249024;7.3661888122558565
2026-01-16;99.28565979003906;99.4056375746856;97.60590215035496;99.28565979003906;4634100;0.33;15.270000000000001;0.0033343040107791655;0.00030214614437085174;0.2559;92.20318183898925;7.08247795104981
2026-01-19;99.31565856933594;100.27551902984942;98.9257154956365;99.5856162248614;1772800;0.03;15.3;0.00030214614437085174;-0.00724862573479923;0.2563;92.77059974670411;6.54505882263183
2026-01-20;98.59575653076172;99.66560166559486;98.19581278455561;99.03569541441767;2677200;-0.72;14.58;-0.00724862573479923;0.010952289237997181;0.2328;93.41600646972657;5.179750061035151
2026-01-21;99.67560577392578;99.86557314795913;97.64590015559486;99.4356349410004;3857500;1.1;15.68;0.010952289237997181;0.0328016428414899;0.2323;94.0604133605957;5.615192413330078
2026-01-22;102.94512939453125;103.54504121566715;100.09554252291618;100.09554252291618;5771800;3.28;18.96;0.0328016428414899;0.009712504587487736;0.2487;94.8073055267334;8.137823867797849
2026-01-23;103.94498443603516;104.74487194561638;102.29522121520675;103.39506844795412;3821500;0.97;19.93;0.009712504587487736;-0.015005713697688328;0.2467;95.53020095825195;8.414783477783203
2026-01-26;102.38521575927734;105.0248339534744;101.4853441866436;105.0248339534744;3949500;-1.5;18.43;-0.015005713697688328;0.009960852722853852;0.2593;96.15511093139648;6.230104827880865
2026-01-27;103.40505981445312;105.4847612026027;103.12510147918155;103.57503342825478;4625100;1.0;19.43;0.009960852722853852;-0.03529300311033867;0.2538;96.86600837707519;6.539051437377935
2026-01-28;99.75558471679688;104.77486384208049;97.51591042409223;104.48490481762214;7191800;-3.53;15.9;-0.03529300311033867;-0.024155490516218348;0.2958;97.3594367980957;2.3961479187011747
2026-01-29;97.34593963623047;100.8654279126022;96.90600074107425;100.5354813695277;4078600;-2.42;13.48;-0.024155490516218348;-0.004211193897609156;0.3063;97.79737358093261;-0.4514339447021456
2026-01-30;96.93599700927734;97.87586371084635;96.01613169147817;97.36593522081499;4307700;-0.42;13.06;-0.004211193897609156;0.0029912019075060137;0.3075;98.2153133392334;-1.2793163299560604
2026-02-02;97.2259521484375;98.65574589892742;95.98613339467815;98.035840336194;4980100;0.3;13.360000000000001;0.0029912019075060137;-0.015322907184782908;0.2603;98.43278160095215;-1.2068294525146541
2026-02-03;95.73616790771484;98.48577064135678;94.99627694440215;98.29579564779705;4182900;-1.53;11.830000000000002;-0.015322907184782908;-0.03738903603993238;0.2678;98.56626205444336;-2.830094146728513
2026-02-04;92.15668487548828;96.04612238269719;90.40693765040433;95.73616960102164;5624200;-3.74;8.090000000000002;-0.03738903603993238;-0.0040142688718197705;0.2995;98.47927436828613;-6.322589492797846
2026-02-05;91.7867431640625;92.88658275086608;89.89701677200468;92.54662789484752;5023500;-0.4;7.690000000000001;-0.0040142688718197705;-0.0005446911028743617;0.2969;98.32729644775391;-6.540553283691409
2026-02-06;91.73674774169922;92.45664496630258;90.11697898634166;91.93671580262568;3785100;-0.05;7.6400000000000015;-0.0005446911028743617;0.024632158081602462;0.2935;98.1223258972168;-6.385578155517578
2026-02-09;93.99642181396484;94.32636834593558;91.75673990335352;92.78659752129236;2944400;2.46;10.100000000000001;0.024632158081602462;-0.0008509533737777186;0.2968;97.9263542175293;-3.9299324035644503
2026-02-10;93.91643524169922;94.63633248218058;93.08655327679472;94.20639427624269;1883900;-0.09;10.010000000000002;-0.0008509533737777186;-0.005961828020973559;0.2958;97.76837730407715;-3.8519420623779297
2026-02-11;93.35652160644531;94.93628768212687;92.48664447439259;94.92629461833842;4022000;-0.6;9.410000000000002;-0.005961828020973559;0.0003212539347681176;0.2952;97.62289886474609;-4.266377258300778
