Date;Close;High;Low;Open;Volume;ret;tret;Returns;Target;Vol;MM20;Detrend
2024-07-15;16.267127990722656;16.275539314501035;16.166193709678062;16.275539314501035;4400;-0.21;-17.34;-0.0020641678780094486;-0.002585165782197918;0.1776;16.381941032409667;-0.11481304168701101
2024-07-16;16.225074768066406;16.317596131254952;16.191429469237008;16.267129787307002;1400;-0.26;-17.6;-0.002585165782197918;0.005702387742617221;0.1725;16.384885025024413;-0.1598102569580071
2024-07-17;16.317596435546875;16.443763099917586;16.225075070632986;16.225075070632986;2100;0.57;-17.03;0.005702387742617221;0.007731861154489872;0.1736;16.39287567138672;-0.07527923583984375
2024-07-18;16.443761825561523;16.662451442194328;16.21666248901243;16.35124046781784;6200;0.77;-16.26;0.007731861154489872;-0.012276153841424886;0.1754;16.407174587249756;0.03658723831176758
2024-07-19;16.24189567565918;16.317595993088194;16.225074630683057;16.317595993088194;2700;-1.23;-17.490000000000002;-0.012276153841424886;-0.026928936421421246;0.1763;16.40170736312866;-0.1598116874694817
2024-07-22;15.804518699645996;16.292364319303772;15.745639424678439;16.27554166931304;32300;-2.69;-20.180000000000003;-0.026928936421421246;0.005854067154112297;0.1565;16.348296785354613;-0.5437780857086167
2024-07-23;15.897039413452148;16.06526269786173;15.728817733338706;15.728817733338706;12100;0.59;-19.590000000000003;0.005854067154112297;-0.006349114363486175;0.1575;16.30792326927185;-0.41088385581970144
2024-07-24;15.796107292175293;16.065263273436845;15.770873317320948;16.0568519484854;11100;-0.63;-20.220000000000002;-0.006349114363486175;-0.0015975566397251617;0.1556;16.270914363861085;-0.4748070716857917
2024-07-25;15.770872116088867;15.804517413331972;15.476482182395994;15.804517413331972;3500;-0.16;-20.380000000000003;-0.0015975566397251617;0.01120000425713119;0.1486;16.224232482910157;-0.4533603668212898
2024-07-26;15.947505950927734;16.0568515684121;15.569005962849022;16.0568515684121;3600;1.12;-19.26;0.01120000425713119;-0.0210970201717815;0.1528;16.196055126190185;-0.24854917526245046
2024-07-29;15.611061096191406;15.812928078831828;15.611061096191406;15.812928078831828;2900;-2.11;-21.37;-0.0210970201717815;0.013469779925744385;0.1676;16.153158378601074;-0.5420972824096673
2024-07-30;15.821338653564453;15.82974997797938;15.569005338300954;15.703583320347631;5700;1.35;-20.02;0.013469779925744385;-0.017012122332921598;0.1771;16.121616649627686;-0.30027799606323313
2024-07-31;15.552184104919434;15.846574069050842;15.140038796853958;15.829751418689908;17300;-1.7;-21.72;-0.017012122332921598;-0.021092497280570277;0.185;16.079140424728394;-0.52695631980896
2024-08-01;15.224149703979492;15.812927999312524;15.140038060561585;15.812927999312524;15900;-2.11;-23.83;-0.021092497280570277;-0.02762439833727537;0.1929;16.031197118759156;-0.8070474147796638
2024-08-02;14.80359172821045;15.224148302282927;14.795180404213479;15.224148302282927;18300;-2.76;-26.589999999999996;-0.02762439833727537;-0.017613505287195408;0.2111;15.961805248260498;-1.1582135200500492
2024-08-05;14.542848587036133;14.77835926582462;14.004535026313498;14.298924979095283;23200;-1.76;-28.349999999999998;-0.017613505287195408;0.009832135047407542;0.208;15.870544624328613;-1.3276960372924798
2024-08-06;14.685835838317871;15.131626416004305;14.576491827192738;14.694247162911518;6000;0.98;-27.369999999999997;0.009832135047407542;0.0022910908120965523;0.2131;15.797367715835572;-1.1115318775177006
2024-08-07;14.719482421875;15.055927413515747;14.626959447562694;14.879294394515455;6400;0.23;-27.139999999999997;0.0022910908120965523;0.005714148359622584;0.2073;15.717462015151977;-0.9979795932769768
2024-08-08;14.80359172821045;14.938169703569962;14.660602428853966;14.879292039887176;5800;0.57;-26.569999999999997;0.005714148359622584;0.020454636377159163;0.2086;15.638817977905273;-0.8352262496948235
2024-08-09;15.106393814086914;15.518540735123372;14.812005448055547;14.812005448055547;3500;2.05;-24.519999999999996;0.020454636377159163;-0.017260638469130618;0.2273;15.579098892211913;-0.4727050781249993
2024-08-12;14.845647811889648;15.232560722104626;14.845647811889648;15.114803781971652;8000;-1.73;-26.249999999999996;-0.017260638469130618;0.018696918247114613;0.2322;15.508024883270263;-0.6623770713806145
2024-08-13;15.123215675354004;15.451250929987882;14.854059695149113;15.05592668030278;5200;1.87;-24.379999999999995;0.018696918247114613;-0.026140065346852648;0.2463;15.452931928634644;-0.32971625328064036
2024-08-14;14.727893829345703;15.148450472316297;14.727893829345703;14.938172150830999;13300;-2.61;-26.989999999999995;-0.026140065346852648;0.010850843173836555;0.2565;15.373446798324585;-0.6455529689788815
2024-08-15;14.887703895568848;15.140037207305511;14.660602952428208;14.80359225689127;9200;1.09;-25.899999999999995;0.010850843173836555;0.0;0.2587;15.29564390182495;-0.40794000625610316
2024-08-16;14.887703895568848;15.131625883008146;14.887703895568848;14.896113615570142;7900;0.0;-25.899999999999995;0.0;0.002824887166899881;0.2577;15.227934312820434;-0.3402304172515862
2024-08-19;14.929759979248047;15.089571943721804;14.769948014774291;14.769948014774291;4200;0.28;-25.619999999999994;0.002824887166899881;0.003943599317993707;0.2442;15.184196376800537;-0.2544363975524906
2024-08-20;14.98863697052002;14.988636970520018;14.988636970520018;14.988636970520018;400;0.39;-25.229999999999993;0.003943599317993707;0.006172787269612456;0.2434;15.13877625465393;-0.15013928413391042
2024-08-21;15.081158638000488;15.350314582206618;14.997047004362079;14.997047004362079;5600;0.62;-24.609999999999992;0.006172787269612456;-0.004461626126291085;0.2451;15.103028821945191;-0.02187018394470286
2024-08-22;15.013872146606445;15.240973113875736;15.013872146606445;15.224150463493661;2600;-0.45;-25.05999999999999;-0.004461626126291085;0.008403254589001152;0.2452;15.065178823471069;-0.05130667686462331
2024-08-23;15.140037536621094;15.266204195233716;15.055925896113978;15.232560501608532;3000;0.84;-24.21999999999999;0.008403254589001152;-0.005000037794132828;0.2433;15.024805402755737;0.1152321338653568
2024-08-26;15.064336776733398;15.627882665941625;15.064336776733398;15.56059367637778;8700;-0.5;-24.71999999999999;-0.005000037794132828;-0.010050200992624658;0.2335;14.997469186782837;0.06686758995056152
2024-08-27;14.91293716430664;15.182093140884232;14.828825520552103;15.182093140884232;4100;-1.01;-25.729999999999993;-0.010050200992624658;0.004512018278291174;0.2281;14.952049112319946;-0.03911194801330531
2024-08-28;14.980224609375;15.21573686667461;14.921346946124098;15.21573686667461;6800;0.45;-25.279999999999994;0.004512018278291174;0.010668259749995856;0.2232;14.923451137542724;0.0567734718322761
2024-08-29;15.140037536621094;15.190503879206922;14.854058921474563;14.854058921474563;4300;1.07;-24.209999999999994;0.010668259749995856;0.002777742783210302;0.215;14.919245529174805;0.22079200744628835
