;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
78;30/10/2020;0,0095;JRS CAP PROPRIO;01/12/2020							  ;1;BEES4
79;30/09/2020;0,0095;JRS CAP PROPRIO;03/11/2020							  ;1;BEES4
80;31/08/2020;0,0095;JRS CAP PROPRIO;01/10/2020							  ;1;BEES4
81;07/05/2020;0,0174;JRS CAP PROPRIO;20/05/2020							  ;1;BEES4
82;07/05/2020;0,0626;DIVIDENDO;20/05/2020							  ;1;BEES4
83;30/04/2020;0,0212;JRS CAP PROPRIO;01/06/2020							  ;1;BEES4
84;31/03/2020;0,0212;JRS CAP PROPRIO;04/05/2020							  ;1;BEES4
85;28/02/2020;0,0212;JRS CAP PROPRIO;01/04/2020							  ;1;BEES4
86;31/01/2020;0,0212;JRS CAP PROPRIO;02/03/2020							  ;1;BEES4
87;30/12/2019;0,0206;JRS CAP PROPRIO;03/02/2020							  ;1;BEES4
88;29/11/2019;0,0206;JRS CAP PROPRIO;02/01/2020							  ;1;BEES4
89;31/10/2019;0,0206;JRS CAP PROPRIO;02/12/2019							  ;1;BEES4
90;30/09/2019;0,0206;JRS CAP PROPRIO;01/11/2019							  ;1;BEES4
91;30/08/2019;0,0206;JRS CAP PROPRIO;01/10/2019							  ;1;BEES4
92;31/07/2019;0,0206;JRS CAP PROPRIO;02/09/2019							  ;1;BEES4
93;18/07/2019;0,0158;JRS CAP PROPRIO;02/08/2019							  ;1;BEES4
94;28/06/2019;0,0206;JRS CAP PROPRIO;01/08/2019							  ;1;BEES4
95;31/05/2019;0,0206;JRS CAP PROPRIO;01/07/2019							  ;1;BEES4
96;06/05/2019;0,0390;JRS CAP PROPRIO;20/05/2019							  ;1;BEES4
97;30/04/2019;0,0206;JRS CAP PROPRIO;03/06/2019							  ;1;BEES4
98;29/03/2019;0,0206;JRS CAP PROPRIO;02/05/2019							  ;1;BEES4
99;28/02/2019;0,0206;JRS CAP PROPRIO;01/04/2019							  ;1;BEES4
100;31/01/2019;0,0206;JRS CAP PROPRIO;01/03/2019							  ;1;BEES4
101;28/12/2018;0,0199;JRS CAP PROPRIO;01/02/2019							  ;1;BEES4
102;30/11/2018;0,0199;JRS CAP PROPRIO;02/01/2019							  ;1;BEES4
103;31/10/2018;0,0199;JRS CAP PROPRIO;03/12/2018							  ;1;BEES4
104;15/10/2018;0,0317;JRS CAP PROPRIO;29/10/2018							  ;1;BEES4
105;28/09/2018;0,0199;JRS CAP PROPRIO;01/11/2018							  ;1;BEES4
106;31/08/2018;0,0199;JRS CAP PROPRIO;01/10/2018							  ;1;BEES4
107;31/07/2018;0,0136;JRS CAP PROPRIO;03/09/2018							  ;1;BEES4
108;18/07/2018;0,0134;JRS CAP PROPRIO;03/08/2018							  ;1;BEES4
109;29/06/2018;0,0136;JRS CAP PROPRIO;01/08/2018							  ;1;BEES4
110;30/05/2018;0,0136;JRS CAP PROPRIO;02/07/2018							  ;1;BEES4
111;07/05/2018;0,0139;JRS CAP PROPRIO;25/05/2018							  ;1;BEES4
112;30/04/2018;0,0136;JRS CAP PROPRIO;01/06/2018							  ;1;BEES4
113;29/03/2018;0,0136;JRS CAP PROPRIO;02/05/2018							  ;1;BEES4
114;28/02/2018;0,0136;JRS CAP PROPRIO;02/04/2018							  ;1;BEES4
115;31/01/2018;0,0136;JRS CAP PROPRIO;01/03/2018							  ;1;BEES4
116;28/12/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
117;30/11/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
118;31/10/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
119;29/09/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
120;31/08/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
121;31/07/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
122;20/07/2017;0,0070;JRS CAP PROPRIO;-							  ;1;BEES4
123;30/06/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
124;31/05/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
125;08/05/2017;0,0008;JRS CAP PROPRIO;-							  ;1;BEES4
126;28/04/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
127;31/03/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
128;24/02/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
129;31/01/2017;0,0158;JRS CAP PROPRIO;-							  ;1;BEES4
130;29/12/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES4
131;30/11/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES4
132;31/10/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES4
133;30/09/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES4
134;31/08/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES4
135;29/07/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES4
136;19/07/2016;0,0032;JRS CAP PROPRIO;-							  ;1;BEES4
137;30/06/2016;0,0149;JRS CAP PROPRIO;-							  ;1;BEES4
138;31/05/2016;0,0149;JUROS MENSAL;-							  ;1;BEES4
139;02/05/2016;0,0127;JUROS;-							  ;1;BEES4
140;29/04/2016;0,0149;JUROS MENSAL;-							  ;1;BEES4
141;31/03/2016;0,0149;JUROS MENSAL;-							  ;1;BEES4
142;29/02/2016;0,0149;JUROS MENSAL;-							  ;1;BEES4
143;29/01/2016;0,0149;JUROS MENSAL;-							  ;1;BEES4
144;31/12/2015;0,0127;JUROS MENSAL;-							  ;1;BEES4
145;30/11/2015;0,0127;JUROS;-							  ;1;BEES4
146;30/10/2015;0,0127;JUROS MENSAL;-							  ;1;BEES4
147;30/09/2015;0,0127;JUROS MENSAL;-							  ;1;BEES4
148;31/08/2015;0,0127;JUROS MENSAL;-							  ;1;BEES4
149;31/07/2015;0,0127;JUROS MENSAL;-							  ;1;BEES4
150;28/07/2015;0,0241;JUROS;-							  ;1;BEES4
151;30/06/2015;0,0104;JUROS MENSAL;-							  ;1;BEES4
152;29/05/2015;0,0104;Juros mensal;-							  ;1;BEES4
153;30/04/2015;0,0104;Juros mensal;-							  ;1;BEES4
154;31/03/2015;0,0104;Juros mensal;-							  ;1;BEES4
155;27/02/2015;0,0104;Juros mensal;-							  ;1;BEES4
156;30/01/2015;0,0104;JRS CAP PROPRIO;-							  ;1;BEES4
157;27/01/2015;0,0063;JRS CAP PROPRIO;-							  ;1;BEES4
158;30/12/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
159;28/11/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
160;31/10/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
161;30/09/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
162;29/08/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
163;31/07/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
164;29/07/2014;0,0009;JRS CAP PROPRIO;-							  ;1;BEES4
165;30/06/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
166;30/05/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
167;30/04/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
168;31/03/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
169;28/02/2014;0,0019;JRS CAP PRÓPRIO;-							  ;1;BEES4
170;28/02/2014;0,0019;JRS CAP PROPRIO;-							  ;1;BEES4
171;26/02/2014;0,0019;JRS CAP PRÓPRIO;-							  ;1;BEES4
172;30/12/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES4
