Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
29/12/2003;2,0896;JRS CAP PRÓPRIO;-							  ;1000;VIVT3
02/10/2003;3,4250;DIVIDENDO;-							  ;1000;VIVT3
04/04/2003;1,7040;DIVIDENDO;-							  ;1000;VIVT3
27/03/2003;0,0891;DIVIDENDO;-							  ;1000;VIVT3
23/12/2002;1,1858;JRS CAP PRÓPRIO;-							  ;1000;VIVT3
04/10/2002;0,6867;DIVIDENDO;-							  ;1000;VIVT3
28/12/2001;2,1480;JRS CAP PRÓPRIO;-							  ;1000;VIVT3
28/12/2000;1,6603;JRS CAP PRÓPRIO;-							  ;1000;VIVT3
13/03/2000;0,1364;DIVIDENDO;-							  ;1000;VIVT3
30/12/1999;2,1946;JRS CAP PRÓPRIO;-							  ;1000;VIVT3
30/12/1998;0,7864;JRS CAP PRÓPRIO;-							  ;1000;VIVT3
30/12/1998;0,6836;JRS CAP PRÓPRIO;-							  ;1000;VIVT3
;;;;;VIVT3
2026;1,946;;;;VIVT3
2025;2,465;;;;VIVT3
2024;2,803;;;;VIVT3
2023;2,058;;;;VIVT3
2022;3,056;;;;VIVT3
2021;3,463;;;;VIVT3
2020;3,415;;;;VIVT3
2019;3,364;;;;VIVT3
2018;3,744;;;;VIVT3
2017;2,405;;;;VIVT3
2016;1,206;;;;VIVT3
2015;3,490;;;;VIVT3
2014;2,729;;;;VIVT3
2013;4,704;;;;VIVT3
2012;2,568;;;;VIVT3
2011;5,017;;;;VIVT3
2010;3,781;;;;VIVT3
