Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
13/08/2021;0,0373;JRS CAP PROPRIO;26/08/2021							  ;1;ITSA4
31/05/2021;0,0200;DIVIDENDO;01/07/2021							  ;1;ITSA4
24/05/2021;0,0184;JRS CAP PROPRIO;26/08/2021							  ;1;ITSA4
27/04/2021;0,0213;JRS CAP PROPRIO;26/08/2021							  ;1;ITSA4
25/03/2021;0,0191;JRS CAP PROPRIO;26/08/2021							  ;1;ITSA4
09/03/2021;0,0155;JRS CAP PROPRIO;26/08/2021							  ;1;ITSA4
26/02/2021;0,0200;DIVIDENDO;01/04/2021							  ;1;ITSA4
22/01/2021;0,0208;JRS CAP PROPRIO;12/03/2021							  ;1;ITSA4
10/12/2020;0,1017;JRS CAP PROPRIO;12/03/2021							  ;1;ITSA4
30/11/2020;0,0200;DIVIDENDO;04/01/2021							  ;1;ITSA4
31/08/2020;0,0200;DIVIDENDO;01/10/2020							  ;1;ITSA4
17/08/2020;0,0200;DIVIDENDO;26/08/2020							  ;1;ITSA4
29/05/2020;0,0200;DIVIDENDO;01/07/2020							  ;1;ITSA4
28/02/2020;0,0200;DIVIDENDO;01/04/2020							  ;1;ITSA4
20/02/2020;0,2174;JRS CAP PROPRIO;06/03/2020							  ;1;ITSA4
20/02/2020;0,2260;DIVIDENDO;06/03/2020							  ;1;ITSA4
12/12/2019;0,0060;JRS CAP PROPRIO;30/04/2020							  ;1;ITSA4
29/11/2019;0,0200;DIVIDENDO;02/01/2020							  ;1;ITSA4
30/08/2019;0,0200;DIVIDENDO;01/10/2019							  ;1;ITSA4
15/08/2019;0,3405;DIVIDENDO;23/08/2019							  ;1;ITSA4
31/05/2019;0,0200;DIVIDENDO;01/07/2019							  ;1;ITSA4
28/02/2019;0,0200;DIVIDENDO;01/04/2019							  ;1;ITSA4
21/02/2019;0,3111;JRS CAP PROPRIO;07/03/2019							  ;1;ITSA4
21/02/2019;0,4532;DIVIDENDO;07/03/2019							  ;1;ITSA4
17/12/2018;0,0081;JRS CAP PROPRIO;30/04/2019							  ;1;ITSA4
30/11/2018;0,0200;DIVIDENDO;02/01/2019							  ;1;ITSA4
31/08/2018;0,0150;DIVIDENDO;01/10/2018							  ;1;ITSA4
17/08/2018;0,0096;JRS CAP PROPRIO;30/08/2018							  ;1;ITSA4
17/08/2018;0,1992;DIVIDENDO;30/08/2018							  ;1;ITSA4
30/05/2018;0,0150;DIVIDENDO;02/07/2018							  ;1;ITSA4
28/02/2018;0,0150;DIVIDENDO;02/04/2018							  ;1;ITSA4
22/02/2018;0,3740;JRS CAP PROPRIO;07/03/2018							  ;1;ITSA4
22/02/2018;0,1850;DIVIDENDO;05/04/2018							  ;1;ITSA4
22/02/2018;0,1103;DIVIDENDO;07/03/2018							  ;1;ITSA4
22/12/2017;0,1681;JRS CAP PROPRIO;-							  ;1;ITSA4
30/11/2017;0,0150;DIVIDENDO;-							  ;1;ITSA4
31/08/2017;0,0150;DIVIDENDO;-							  ;1;ITSA4
14/08/2017;0,0790;JRS CAP PROPRIO;-							  ;1;ITSA4
31/05/2017;0,0150;DIVIDENDO;-							  ;1;ITSA4
24/02/2017;0,0150;DIVIDENDO;-							  ;1;ITSA4
20/02/2017;0,1188;JRS CAP PROPRIO;-							  ;1;ITSA4
20/02/2017;0,0490;JRS CAP PROPRIO;-							  ;1;ITSA4
22/12/2016;0,2280;JRS CAP PROPRIO;-							  ;1;ITSA4
22/12/2016;0,0480;JRS CAP PROPRIO;-							  ;1;ITSA4
30/11/2016;0,0150;DIVIDENDO;-							  ;1;ITSA4
31/08/2016;0,0150;DIVIDENDO;-							  ;1;ITSA4
12/08/2016;0,0790;JRS CAP PROPRIO;-							  ;1;ITSA4
31/05/2016;0,0150;DIVIDENDO;-							  ;1;ITSA4
29/02/2016;0,0150;DIVIDENDO;-							  ;1;ITSA4
18/02/2016;0,1063;JUROS;-							  ;1;ITSA4
18/02/2016;0,0755;DIVIDENDO;-							  ;1;ITSA4
09/12/2015;0,1209;JUROS;-							  ;1;ITSA4
30/11/2015;0,0150;DIVIDENDO;-							  ;1;ITSA4
31/08/2015;0,0150;DIVIDENDO;-							  ;1;ITSA4
12/08/2015;0,0865;JUROS;-							  ;1;ITSA4
29/05/2015;0,0150;Dividendo;-							  ;1;ITSA4
27/02/2015;0,0150;Dividendo;-							  ;1;ITSA4
10/02/2015;0,1741;Juros;-							  ;1;ITSA4
10/02/2015;0,0916;Dividendo;-							  ;1;ITSA4
19/12/2014;0,0356;JRS CAP PROPRIO;-							  ;1;ITSA4
28/11/2014;0,0150;DIVIDENDO;-							  ;1;ITSA4
29/08/2014;0,0150;DIVIDENDO;-							  ;1;ITSA4
13/08/2014;0,0820;JRS CAP PROPRIO;-							  ;1;ITSA4
30/05/2014;0,0150;DIVIDENDO;-							  ;1;ITSA4
28/02/2014;0,0150;DIVIDENDO;-							  ;1;ITSA4
18/02/2014;0,1140;JRS CAP PRÓPRIO;-							  ;1;ITSA4
18/02/2014;0,0626;JRS CAP PRÓPRIO;-							  ;1;ITSA4
20/12/2013;0,0860;JRS CAP PRÓPRIO;-							  ;1;ITSA4
29/11/2013;0,0150;DIVIDENDO;-							  ;1;ITSA4
30/08/2013;0,0150;DIVIDENDO;-							  ;1;ITSA4
06/08/2013;0,0710;JRS CAP PRÓPRIO;-							  ;1;ITSA4
31/05/2013;0,0150;DIVIDENDO;-							  ;1;ITSA4
05/03/2013;0,1258;JRS CAP PRÓPRIO;-							  ;1;ITSA4
21/12/2012;0,1100;JRS CAP PRÓPRIO;-							  ;1;ITSA4
21/12/2012;0,0970;JRS CAP PRÓPRIO;-							  ;1;ITSA4
30/11/2012;0,0150;DIVIDENDO;-							  ;1;ITSA4
31/08/2012;0,0150;DIVIDENDO;-							  ;1;ITSA4
31/05/2012;0,0150;DIVIDENDO;-							  ;1;ITSA4
29/02/2012;0,1348;JRS CAP PRÓPRIO;-							  ;1;ITSA4
29/02/2012;0,0140;DIVIDENDO;-							  ;1;ITSA4
29/02/2012;0,0129;JRS CAP PRÓPRIO;-							  ;1;ITSA4
26/12/2011;0,1400;JRS CAP PRÓPRIO;-							  ;1;ITSA4
30/11/2011;0,0140;DIVIDENDO;-							  ;1;ITSA4
31/08/2011;0,0140;DIVIDENDO;-							  ;1;ITSA4
09/08/2011;0,0780;JRS CAP PRÓPRIO;-							  ;1;ITSA4
31/05/2011;0,0140;DIVIDENDO;-							  ;1;ITSA4
29/03/2011;0,1117;JRS CAP PRÓPRIO;-							  ;1;ITSA4
04/03/2011;0,0472;JRS CAP PRÓPRIO;-							  ;1;ITSA4
28/02/2011;0,0140;DIVIDENDO;-							  ;1;ITSA4
30/12/2010;0,0874;JRS CAP PRÓPRIO;-							  ;1;ITSA4
30/11/2010;0,0140;DIVIDENDO;-							  ;1;ITSA4
31/08/2010;0,0140;DIVIDENDO;-							  ;1;ITSA4
10/08/2010;0,0716;JRS CAP PRÓPRIO;-							  ;1;ITSA4
31/05/2010;0,0140;DIVIDENDO;-							  ;1;ITSA4
02/03/2010;0,1085;JRS CAP PRÓPRIO;-							  ;1;ITSA4
02/03/2010;0,0730;JRS CAP PRÓPRIO;-							  ;1;ITSA4
26/02/2010;0,0140;DIVIDENDO;-							  ;1;ITSA4
30/12/2009;0,0350;JRS CAP PRÓPRIO;-							  ;1;ITSA4
