Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
02/02/2015;0,0188;Juros mensal;-							  ;1;BBDC3
02/01/2015;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
22/12/2014;0,5903;JRS CAP PROPRIO;-							  ;1;BBDC3
01/12/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
03/11/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
01/10/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
01/09/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
01/08/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
01/07/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
24/06/2014;0,1882;DIVIDENDO;-							  ;1;BBDC3
02/06/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
02/05/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
01/04/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
05/03/2014;0,0188;JRS CAP PROPRIO;-							  ;1;BBDC3
10/02/2014;0,1938;DIVIDENDO;-							  ;1;BBDC3
03/02/2014;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/01/2014;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
23/12/2013;0,3226;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/12/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/11/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/10/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/09/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/08/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/07/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
27/06/2013;0,1883;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/06/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/05/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/04/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/03/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
05/02/2013;0,0665;DIVIDENDO;-							  ;1;BBDC3
01/02/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/01/2013;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
21/12/2012;0,5126;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/12/2012;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/11/2012;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/10/2012;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/09/2012;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/08/2012;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/07/2012;0,0188;JRS CAP PRÓPRIO;-							  ;1;BBDC3
27/06/2012;0,1882;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/06/2012;0,0160;DIVIDENDO;-							  ;1;BBDC3
