Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
30/09/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/08/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/07/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/06/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/05/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/03/2013;0,0024;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/12/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/11/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/10/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/09/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/08/2012;0,0025;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/07/2012;0,0251;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/06/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/05/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/03/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/02/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/02/2012;0,0274;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/12/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/11/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/10/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/09/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/08/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/07/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/06/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/05/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/04/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/04/2011;0,0029;DIVIDENDO;-							  ;1;BEES3
31/03/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/02/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/01/2011;0,0259;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/01/2011;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/11/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/10/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/09/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/08/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/07/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/06/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/05/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2010;0,0016;DIVIDENDO;-							  ;1;BEES3
31/03/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
26/02/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/11/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/10/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/09/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/08/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES3
27/08/2009;0,0024;DIVIDENDO;-							  ;1;BEES3
31/07/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES3
