;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
215;31/08/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
216;01/08/2012;0,2774;JRS CAP PRÓPRIO;-							  ;1;ITUB4
217;31/07/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
218;29/06/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
219;31/05/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
220;30/04/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
221;30/03/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
222;29/02/2012;0,4164;JRS CAP PRÓPRIO;-							  ;1;ITUB4
223;29/02/2012;0,0150;DIVIDENDO;-							  ;1;ITUB4
224;31/01/2012;0,0120;DIVIDENDO;-							  ;1;ITUB4
225;29/12/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
226;26/12/2011;0,2880;JRS CAP PRÓPRIO;-							  ;1;ITUB4
227;30/11/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
228;31/10/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
229;30/09/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
230;31/08/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
231;09/08/2011;0,2706;JRS CAP PRÓPRIO;-							  ;1;ITUB4
232;29/07/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
233;30/06/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
234;31/05/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
235;29/04/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
236;31/03/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
237;04/03/2011;0,3818;JRS CAP PRÓPRIO;-							  ;1;ITUB4
238;28/02/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
239;31/01/2011;0,0120;DIVIDENDO;-							  ;1;ITUB4
240;30/12/2010;0,2150;JRS CAP PRÓPRIO;-							  ;1;ITUB4
241;30/12/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
242;30/11/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
243;29/10/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
244;30/09/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
245;31/08/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
246;10/08/2010;0,2465;JRS CAP PRÓPRIO;-							  ;1;ITUB4
247;30/07/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
248;30/06/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
249;31/05/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
250;30/04/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
251;31/03/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
252;26/02/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
253;19/02/2010;0,3844;JRS CAP PRÓPRIO;-							  ;1;ITUB4
254;29/01/2010;0,0120;DIVIDENDO;-							  ;1;ITUB4
255;30/12/2009;0,1776;JRS CAP PRÓPRIO;-							  ;1;ITUB4
256;30/12/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
257;30/11/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
258;30/10/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
259;30/09/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
260;31/08/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
261;21/08/2009;0,2000;JRS CAP PRÓPRIO;-							  ;1;ITUB4
262;31/07/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
263;30/06/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
264;29/05/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
265;30/04/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
266;31/03/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
267;09/03/2009;0,2168;JRS CAP PRÓPRIO;-							  ;1;ITUB4
268;27/02/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
269;30/01/2009;0,0120;DIVIDENDO;-							  ;1;ITUB4
270;30/12/2008;0,0770;JRS CAP PRÓPRIO;-							  ;1;ITUB4
271;30/12/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
272;28/11/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
273;21/11/2008;0,3897;JRS CAP PRÓPRIO;-							  ;1;ITUB4
274;31/10/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
275;30/09/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
276;29/08/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
277;15/08/2008;0,1500;DIVIDENDO;-							  ;1;ITUB4
278;31/07/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
279;30/06/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
280;30/05/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
281;30/04/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
282;31/03/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
283;29/02/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
284;22/02/2008;0,7000;JRS CAP PRÓPRIO;-							  ;1;ITUB4
285;22/02/2008;0,1000;DIVIDENDO;-							  ;1;ITUB4
286;31/01/2008;0,0120;DIVIDENDO;-							  ;1;ITUB4
287;28/12/2007;0,0120;DIVIDENDO;-							  ;1;ITUB4
288;30/11/2007;0,0120;DIVIDENDO;-							  ;1;ITUB4
289;26/11/2007;0,0700;JRS CAP PRÓPRIO;-							  ;1;ITUB4
290;31/10/2007;0,0120;DIVIDENDO;-							  ;1;ITUB4
291;28/09/2007;0,0120;DIVIDENDO;-							  ;1;ITUB4
292;31/08/2007;0,0240;DIVIDENDO;-							  ;1;ITUB4
293;17/08/2007;0,3330;DIVIDENDO;-							  ;1;ITUB4
294;31/07/2007;0,0240;DIVIDENDO;-							  ;1;ITUB4
295;29/06/2007;0,0240;DIVIDENDO;-							  ;1;ITUB4
296;31/05/2007;0,0240;DIVIDENDO;-							  ;1;ITUB4
