Acao;Data;Hora;Descrição;Link
CEEB3;07/03/2025;19:19;Alteração na composição do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1343935&descTipo=IPE&CodigoInstituicao=1
CEEB3;18/12/2024;18:44;JSCP 4T24;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1317208&descTipo=IPE&CodigoInstituicao=1
CEEB3;10/12/2024;18:25;Pagamento Dividendos AGO 15/04;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1313828&descTipo=IPE&CodigoInstituicao=1
CEEB3;10/12/2024;18:25;"Pagamento JSCP 4T23; 1T24; 2T24 e 3T24";https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1313856&descTipo=IPE&CodigoInstituicao=1
CEEB3;25/09/2024;19:19;Deliberação Juros sobre Capital Próprio - 3T24;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1285213&descTipo=IPE&CodigoInstituicao=1
CEEB3;20/06/2024;18:33;Deliberação JSCP 2T2024;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1252129&descTipo=IPE&CodigoInstituicao=1
CEEB3;14/06/2024;08:44;Alteração do Cronograma da Oferta - 18 Emissão Debentures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1250028&descTipo=IPE&CodigoInstituicao=1
CEEB3;12/06/2024;18:14;Resultado do Procedimento de Bookbuilding - 18ª Emissão Debentures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1249406&descTipo=IPE&CodigoInstituicao=1
CEEB3;16/04/2024;18:23;Reajuste Tarifário Neoenergia Coelba 2024;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1222365&descTipo=IPE&CodigoInstituicao=1
CEEB3;15/04/2024;17:27;Aviso aos Acionistas - Dividendos AGO 2024;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1221846&descTipo=IPE&CodigoInstituicao=1
CEEB3;20/03/2024;18:29;Distribuição de Juros sobre Capital Próprio 1T24;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1209963&descTipo=IPE&CodigoInstituicao=1
CEEB3;05/03/2024;08:31;Investimentos 2024 a 2027;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1202895&descTipo=IPE&CodigoInstituicao=1
CEEB3;19/12/2023;19:17;Pagamento JSCP 3T23 e Dividendos Intermediários;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1175519&descTipo=IPE&CodigoInstituicao=1
CEEB3;19/12/2023;19:17;17ª Emissão Debentures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1175528&descTipo=IPE&CodigoInstituicao=1
CEEB3;13/12/2023;19:25;Juros sobre Capital Próprio 4T23;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1173140&descTipo=IPE&CodigoInstituicao=1
CEEB3;29/09/2023;18:52;Distribuição de Juros sobre Capital Próprio (?JSCP?);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1147292&descTipo=IPE&CodigoInstituicao=1
CEEB3;04/09/2023;18:53;Pagamento JSCP 2T23 a partir de 15/09;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1139931&descTipo=IPE&CodigoInstituicao=1
CEEB3;26/07/2023;18:55;Dividendos Intermediários;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1125612&descTipo=IPE&CodigoInstituicao=1
CEEB3;14/07/2023;18:10;Pagamento de Juros sobre Capital Próprio - 1T23;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1122756&descTipo=IPE&CodigoInstituicao=1
CEEB3;03/07/2023;18:10;Eleição de Diretoria;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1119014&descTipo=IPE&CodigoInstituicao=1
CEEB3;28/06/2023;18:38;Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1117475&descTipo=IPE&CodigoInstituicao=1
CEEB3;18/04/2023;20:12;Revisão Tarifária Neoenergia Coelba;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1087439&descTipo=IPE&CodigoInstituicao=1
CEEB3;18/04/2023;18:23;Dividendos AGO 2023;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1087311&descTipo=IPE&CodigoInstituicao=1
CEEB3;17/04/2023;18:43;15ª Deb Coelba I Comunicado ao Mercado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1086889&descTipo=IPE&CodigoInstituicao=1
CEEB3;17/03/2023;18:45;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO 4T2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1074373&descTipo=IPE&CodigoInstituicao=1
CEEB3;07/03/2023;18:58;Distribuição Juros sob Capital Próprio - 1° Trimestre 2023;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=1069775&descTipo=IPE&CodigoInstituicao=1
