;Papel;Total_Acumulado
174;RPAD3;0.15
175;BRAP4;0.15
176;VIVA3;0.1
177;CEEB3;0.09
178;EUCA4;0.05
179;MAPT3;0.0
180;EQPA5;0.0
181;HBTS5;0.0
182;TXRX4;0.0
183;BRKM6;0.0
184;MSPA3;0.0
185;CRPG3;0.0
186;COCE3;0.0
187;MWET3;0.0
188;MAPT4;0.0
189;CEGR3;0.0
190;EKTR3;0.0
191;CEDO3;0.0
192;CEEB5;0.0
193;ESTR3;0.0
194;FRIO3;0.0
195;TXRX3;0.0
196;EQMA3B;-0.0
197;CTSA4;0.0
198;CTSA3;0.0
199;BALM3;0.0
200;SOND6;0.0
201;SOND5;0.0
202;SOND3;0.0
203;BMGB4;0.0
204;RSID3;0.0
205;RPAD6;0.0
206;RPAD5;0.0
207;BAUH4;0.0
208;CTKA3;0.0
209;TRIS3;-0.07
210;CGAS3;-0.07
211;OPCT3;-0.09
212;SHUL4;-0.11
213;GRND3;-0.12
214;ABCB4;-0.17
215;SBFG3;-0.31
216;ISAE3;-0.38
217;VALE3;-0.39
218;EQPA7;-0.4
219;MWET4;-0.55
220;EQTL3;-0.59
221;VIVT3;-0.61
222;CEBR5;-0.69
223;TASA3;-0.72
224;SEER3;-0.8
225;TAEE4;-0.86
226;ROMI3;-0.88
227;BRBI11;-0.95
228;TELB4;-1.01
229;REDE3;-1.01
230;RDOR3;-1.18
231;WHRL3;-1.22
232;BMEB3;-1.22
233;NUTR3;-1.25
234;SYNE3;-1.27
235;CBEE3;-1.28
236;CGRA3;-1.31
237;BSLI4;-1.32
238;TAEE11;-1.35
239;BPAC5;-1.36
240;PLAS3;-1.45
241;WIZC3;-1.46
242;BEEF3;-1.47
243;MRSA6B;-1.5
244;CLSC3;-1.52
245;TAEE3;-1.54
246;WDCN3;-1.54
247;RENT3;-1.55
248;BGIP4;-1.59
249;ALLD3;-1.62
250;CXSE3;-1.63
251;BRAP3;-1.63
252;COGN3;-1.71
253;CEBR3;-1.72
254;AXIA3;-1.74
255;YDUQ3;-1.8
256;MGEL4;-1.81
257;IRBR3;-1.88
258;CGAS5;-1.9
259;BSLI3;-1.92
260;RPMG3;-1.95
261;MDIA3;-1.97
262;LEVE3;-2.01
263;BMEB4;-2.01
264;ALPA4;-2.1
265;CSUD3;-2.14
266;CAML3;-2.25
267;RNEW3;-2.29
268;GEPA4;-2.35
269;ENMT4;-2.44
270;UCAS3;-2.61
271;EMAE4;-2.62
272;WLMM3;-2.62
273;BDLL4;-2.67
274;ECOR3;-2.86
275;CALI3;-2.91
276;BPAC3;-2.98
277;ASAI3;-2.99
278;BRKM3;-3.01
279;BAZA3;-3.16
280;CGRA4;-3.18
281;PLPL3;-3.27
282;LOGG3;-3.29
283;GEPA3;-3.36
284;FESA3;-3.39
285;BGIP3;-3.4
286;CYRE3;-3.61
287;TELB3;-3.65
288;EKTR4;-3.67
289;PDGR3;-3.75
290;CYRE4;-3.78
291;HOOT4;-3.85
292;SBSP3;-3.9
293;BALM4;-3.97
294;POSI3;-4.12
295;MRSA3B;-4.2
296;GGPS3;-4.36
297;LUPA3;-4.38
298;LWSA3;-4.41
299;NEXP3;-4.44
300;MRSA5B;-4.44
301;MNDL3;-4.5
302;AURE3;-4.55
303;ENMT3;-4.59
304;ISAE4;-4.65
305;ENJU3;-4.67
306;GSHP3;-4.82
307;AZZA3;-4.89
308;POMO4;-4.93
309;ALPA3;-5.13
310;LAVV3;-5.34
311;VTRU3;-5.56
312;HBSA3;-5.65
313;BIOM3;-5.84
314;CASH3;-5.93
315;AGXY3;-6.02
316;EALT3;-6.03
317;FIQE3;-6.06
318;FHER3;-6.07
319;SOJA3;-6.1
320;DTCY3;-6.13
321;POMO3;-6.13
322;TFCO4;-6.33
323;CEAB3;-6.4
324;BRSR5;-6.4
325;SMTO3;-6.41
326;IGTI3;-6.42
327;RIAA3;-6.8
328;ORVR3;-6.84
329;PFRM3;-6.92
330;FIEI3;-7.09
331;BIED3;-7.12
332;LUXM4;-7.43
333;PATI4;-7.81
334;EALT4;-8.0
335;MTRE3;-8.13
336;CTKA4;-8.3
337;MELK3;-8.34
338;EGIE3;-8.41
339;MOVI3;-8.55
340;CTAX3;-8.63
341;VIVR3;-8.64
342;DMVF3;-8.8
343;MRVE3;-9.1
344;MDNE3;-9.14
345;EVEN3;-9.74
346;QUAL3;-10.08
347;TIMS3;-10.13
348;CRPG5;-10.18
349;AVLL3;-10.34
350;ANIM3;-10.38
351;AZEV4;-10.4
352;EZTC3;-10.48
353;CURY3;-11.34
354;INEP3;-11.67
355;INEP4;-11.87
356;GPAR3;-12.42
357;HETA4;-12.6
358;AURA33;-12.8
359;FICT3;-12.98
360;ATED3;-13.16
361;TTEN3;-13.23
362;RVEE3;-13.32
363;DIRR3;-13.55
364;CRPG6;-13.64
365;PATI3;-13.66
366;CEED3;-13.75
367;AZTE3;-14.25
368;VSTE3;-14.52
369;PGMN3;-14.58
370;TEND3;-14.61
371;EUCA3;-14.63
372;BLAU3;-14.75
373;MSPA4;-14.95
374;WEST3;-16.01
375;TCSA3;-16.29
376;WLMM4;-16.37
377;RSUL4;-18.42
378;TPIS3;-18.54
379;JFEN3;-19.1
380;EPAR3;-19.78
381;BHIA3;-22.95
382;ARND3;-24.44
383;ESTR4;-30.11
384;BDLL3;-34.11
385;RAIZ4;-35.57
386;IFCM3;-35.99
387;MEAL3;-36.32
388;OIBR4;-50.48
389;ONCO3;-51.11
390;GFSA3;-74.8
